codigo_conta,valor_liquido
U10355581,0
U10375548,0
U10393335,0
U11071406,0
U11086471,0
U11239176,0
U11424382,0
U11821945,0
U12156732,0
U12167071,0
U12192213,0
U12216291,0
U12236925,0
U12277193,0
U12294610,0
U12320396,0
U12321651,0
U12351347,0
U12471035,0
U12631300,0
U12666466,0
U12691955,0
U12843298,0
U12997920,0
U4031188,0
U5453084,0
U9578694,0
U9624456,0
U9665342,0
